ASIN,产品中文名,销量,销售额,订单数,日均销量,Vine赠品销量(已扣除),可售,入库中,不可售,预留,FBA总量,包装尺寸1(长×宽×高cm),包装尺寸2(长×宽×高cm),包装类型1,包装类型2,单品重量(g),产品图片,销售数据截止,库存数据截止
B0FL2BPTB5,TZH-6PCS玩偶支架,101,783.02,97,3.37,0,231,0,0,4,235,10×7.5×7,,,,140,,2026-08-05,2026-08-06T06:00:06.596Z
B0FL2CZBH4,TZH-12PCS玩偶支架,418,5377.86,345,13.93,0,555,199,0,95,849,14×7.5×7,,,,188.6,,2026-08-05,2026-08-06T06:00:06.596Z
B0FQNYHWP1,6PcsKpop支架,88,869.13,83,2.93,0,182,0,0,4,186,13×8×6,,,,120,,2026-08-05,2026-08-06T06:00:06.596Z
B0GVWD8KR9,,0,0.00,0,0.00,0,2,0,0,19,21,28×7×1.8,15×8×1.7,,,67,,2026-08-05,2026-08-06T06:00:06.596Z
B0GVWPCJRW,,1,5.99,1,0.03,0,2,0,0,17,19,28×7×1.8,15×8×1.7,,,67,,2026-08-05,2026-08-06T06:00:06.596Z
B0GVY78V83,,0,0.00,0,0.00,0,3,0,0,15,18,28×7×1.8,15×8×1.7,,,95,,2026-08-05,2026-08-06T06:00:06.596Z
B0GWDQVFQ2,,79,1586.31,78,2.63,0,0,192,2,12,206,19×19×11,,,,340,,2026-08-05,2026-08-06T06:00:06.596Z
B0GWFHTRCX,,124,3145.88,123,4.13,0,4,328,0,52,384,24×15×24,,,,550,,2026-08-05,2026-08-06T06:00:06.596Z
B0GWHHR895,,17,339.83,17,0.57,1,123,60,0,15,198,23×9×4,,,,122,,2026-08-05,2026-08-06T06:00:06.596Z
B0GWHY7DZR,,38,719.64,37,1.27,0,300,40,0,22,362,23×9×4,,,,122,,2026-08-05,2026-08-06T06:00:06.596Z
B0GWMTGJ45,,2,39.98,2,0.07,0,42,0,0,1,43,23×9×4,23×9×4,,,122,,2026-08-05,2026-08-06T06:00:06.596Z
B0GWZ1JMYS,,34,679.66,34,1.13,0,83,60,0,15,158,23×9×4,,,,122,,2026-08-05,2026-08-06T06:00:06.596Z
B0GXKN1R6F,,0,0.00,0,0.00,0,0,0,0,32,32,28×7×1.8,15×8×1.7,,,87,https://amz-client-global-1359221291.cos.ap-guangzhou.myqcloud.com/users/f82eadde-4422-426b-b0ea-29b0ed0c3081/uploads/2026-04-17/3c2eed62-0463-4e11-903e-25522ee6fc30.png,2026-08-05,2026-08-06T06:00:06.596Z
B0GY94BD4W,,43,1013.61,43,1.43,0,18,130,0,23,171,21×21×12,,,,700,,2026-08-05,2026-08-06T06:00:06.596Z
B0GYF9RK5Y,,131,2478.76,124,4.37,0,5,310,0,64,379,25×19×10,,,,456,,2026-08-05,2026-08-06T06:00:06.596Z
B0GZW586ZF,,56,1079.46,56,1.87,20,0,250,0,1,251,1×1×1,,,,200,,2026-08-05,2026-08-06T06:00:06.596Z
B0H25MK5M8,,16,149.85,16,0.53,2,111,1,0,2,114,28×11×4,15×11×6,,,122,,2026-08-05,2026-08-06T06:00:06.596Z
B0H35Z5GV8,,172,1668.33,157,5.73,0,120,290,0,8,418,,,,,185,,2026-08-05,2026-08-06T06:00:06.596Z
B0H366YPGD,,80,779.22,76,2.67,0,92,1,0,8,101,15.5×11.5×1.8,,,,40,,2026-08-05,2026-08-06T06:00:06.596Z
B0H36KW9N8,,133,739.26,129,4.43,0,0,300,0,5,305,1×1×1,,,,100,,2026-08-05,2026-08-06T06:00:06.596Z
B0H36NTQY2,,43,759.60,41,1.43,10,96,0,0,9,105,18.5×12.5×4.2,,,,195,,2026-08-05,2026-08-06T06:00:06.596Z
